market_value,name,url
38000000,Stanislav Lobotka,https://www.transfermarkt.com/stanislav-lobotka/profil/spieler/192735
38000000,James Ward-Prowse,https://www.transfermarkt.com/james-ward-prowse/profil/spieler/181579
37000000,Randal Kolo Muani,https://www.transfermarkt.com/randal-kolo-muani/profil/spieler/487969
35000000,Rasmus Højlund,https://www.transfermarkt.com/rasmus-hojlund/profil/spieler/610442
35000000,Pierre Kalulu,https://www.transfermarkt.com/pierre-kalulu/profil/spieler/585949
35000000,Harvey Elliott,https://www.transfermarkt.com/harvey-elliott/profil/spieler/565822
35000000,Pedro Porro,https://www.transfermarkt.com/pedro-porro/profil/spieler/553875
35000000,Giovanni Reyna,https://www.transfermarkt.com/giovanni-reyna/profil/spieler/504215
35000000,Karim Adeyemi,https://www.transfermarkt.com/karim-adeyemi/profil/spieler/496094
35000000,Ansu Fati,https://www.transfermarkt.com/ansu-fati/profil/spieler/466810
35000000,Dominik Szoboszlai,https://www.transfermarkt.com/dominik-szoboszlai/profil/spieler/451276
35000000,Douglas Luiz,https://www.transfermarkt.com/douglas-luiz/profil/spieler/447661
35000000,Martin Terrier,https://www.transfermarkt.com/martin-terrier/profil/spieler/442891
35000000,Amine Gouiri,https://www.transfermarkt.com/amine-gouiri/profil/spieler/418659
35000000,Giacomo Raspadori,https://www.transfermarkt.com/giacomo-raspadori/profil/spieler/405885
35000000,Edson Álvarez,https://www.transfermarkt.com/edson-alvarez/profil/spieler/401356
35000000,Marc Guéhi,https://www.transfermarkt.com/marc-guehi/profil/spieler/392757
35000000,Ibrahim Sangaré,https://www.transfermarkt.com/ibrahim-sangare/profil/spieler/375885
35000000,Diogo Dalot,https://www.transfermarkt.com/diogo-dalot/profil/spieler/357147
35000000,Ibrahima Konaté,https://www.transfermarkt.com/ibrahima-konate/profil/spieler/357119
35000000,Benjamin Pavard,https://www.transfermarkt.com/benjamin-pavard/profil/spieler/353366
35000000,Robin Le Normand,https://www.transfermarkt.com/robin-le-normand/profil/spieler/351809
35000000,Kalvin Phillips,https://www.transfermarkt.com/kalvin-phillips/profil/spieler/351749
35000000,Ben Chilwell,https://www.transfermarkt.com/ben-chilwell/profil/spieler/316125
35000000,Ferland Mendy,https://www.transfermarkt.com/ferland-mendy/profil/spieler/291417
35000000,Lorenzo Pellegrini,https://www.transfermarkt.com/lorenzo-pellegrini/profil/spieler/286297
35000000,Tomas Soucek,https://www.transfermarkt.com/tomas-soucek/profil/spieler/283628
35000000,Marcos Llorente,https://www.transfermarkt.com/marcos-llorente/profil/spieler/282411
35000000,Presnel Kimpembe,https://www.transfermarkt.com/presnel-kimpembe/profil/spieler/282041
35000000,Miguel Almirón,https://www.transfermarkt.com/miguel-almiron/profil/spieler/272999
35000000,Allan Saint-Maximin,https://www.transfermarkt.com/allan-saint-maximin/profil/spieler/272642
35000000,Ángel Correa,https://www.transfermarkt.com/angel-correa/profil/spieler/266807
